0
239 64; clock time = 3.677e-06
239 128; clock time = 1.01e-06
239 1024; clock time = 1.4938e-05
239 16384; clock time = 0.000211067
239 32768; clock time = 0.000435631
239 131072; clock time = 0.00149459
239 1048576; clock time = 0.0102863
239 16777216; clock time = 0.140739
239 33554432; clock time = 0.27668

1
479 64; clock time = 6.21e-05
479 128; clock time = 9.545e-06
479 1024; clock time = 3.9081e-05
479 16384; clock time = 0.000504776
479 32768; clock time = 0.00106606
479 131072; clock time = 0.003205
479 1048576; clock time = 0.0232987
479 16777216; clock time = 0.33309
479 33554432; clock time = 0.665498

2
962 64; clock time = 0.000112361
962 128; clock time = 0.00194047
962 1024; clock time = 5.3762e-05
962 16384; clock time = 0.000817726
962 32768; clock time = 0.00188847
962 131072; clock time = 0.0058754
962 1048576; clock time = 0.0451984
962 16777216; clock time = 0.649936
962 33554432; clock time = 1.36265

3
1940 64; clock time = 0.000324433
1940 128; clock time = 0.00354814
1940 1024; clock time = 0.000136981
1940 16384; clock time = 0.0049814
1940 32768; clock time = 0.00382811
1940 131072; clock time = 0.0114629
1940 1048576; clock time = 0.0864011
1940 16777216; clock time = 1.37989
1940 33554432; clock time = 2.8241

4
3944 64; clock time = 0.0143688
3944 128; clock time = 0.000617656
3944 1024; clock time = 0.00636903
3944 16384; clock time = 0.00333556
3944 32768; clock time = 0.00864239
3944 131072; clock time = 0.0275068
3944 1048576; clock time = 0.229117
3944 16777216; clock time = 4.0516
3944 33554432; clock time = 8.04892

5
8144 64; clock time = 0.0240762
8144 128; clock time = 0.0138951
8144 1024; clock time = 0.00561174
8144 16384; clock time = 0.0153158
8144 32768; clock time = 0.0316182
8144 131072; clock time = 0.137871
8144 1048576; clock time = 0.962698
8144 16777216; clock time = 15.8337
8144 33554432; clock time = 29.8694

